Issue Number,State_0,Time Lapsed_0,Time Lapsed_1,Time Lapsed_2,Time Lapsed_3,Time Lapsed_4,Time Lapsed_5,Time Lapsed_6,Time Lapsed_7,Number of Prompts,Conversation_0,Conversation_1,Conversation_2,Conversation_3,Conversation_4,Conversation_5,Conversation_6,Conversation_7,Type_0,URL_0,URL_1,URL_2,URL_3,URL_4,URL_5,URL_6,URL_7,Author_0,Author_1,Author_2,Author_3,Author_4,Author_5,Author_6,RepoName_0,RepoName_1,RepoName_2,RepoName_3,RepoName_4,RepoName_5,RepoName_6,RepoLanguage_0,RepoLanguage_1,RepoLanguage_2,RepoLanguage_3,RepoLanguage_4,Title_0,Title_1,Title_2,Title_3,Title_4,Title_5,Title_6,Title_7,Body_0,Body_1,Body_2,Body_3,Body_4,Body_5,Body_6,Body_7,UpdatedAt_0,UpdatedAt_1,UpdatedAt_2,UpdatedAt_3,UpdatedAt_4,UpdatedAt_5,UpdatedAt_6,UpdatedAt_7,CSharing_URL_0,CSharing_URL_1,CSharing_URL_2,CSharing_URL_3,CSharing_URL_4,CSharing_URL_5,CSharing_URL_6,CSharing_URL_7,CSharing_Status,CSharing_DateOfConversation_0,CSharing_DateOfConversation_1,CSharing_DateOfConversation_2,CSharing_DateOfConversation_3,CSharing_DateOfConversation_4,CSharing_DateOfConversation_5,CSharing_DateOfConversation_6,CSharing_Title_0,CSharing_Title_1,CSharing_Title_2,CSharing_Title_3,CSharing_Title_4,CSharing_Title_5,CSharing_Title_6,CSharing_Title_7,CSharing_NumberOfPrompts,CSharing_TokensOfPrompts,CSharing_TokensOfAnswers,Conversation_Prompt_0,Conversation_Prompt_1,Conversation_Prompt_2,Conversation_Prompt_3,Conversation_Prompt_4,Conversation_Prompt_5,Conversation_Prompt_6,Conversation_Prompt_7,Conversation_Prompt_8,Conversation_Answer_0,Conversation_Answer_1,Conversation_Answer_2,Conversation_Answer_3,Conversation_Answer_4,Conversation_Answer_5,Conversation_Answer_6,Conversation_Answer_7,Conversation_Answer_8,Conversation_Answer_9,Effectiveness_Score,Detected_Patterns_0,Detected_Patterns_1,Detected_Patterns_2
5,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,200,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,70,555,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,85.90923708920188,0,0,1
5,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,200,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,70,555,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,40.36507042253521,0,0,1
5,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,200,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,70,555,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,23.36507042253521,0,0,1
1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,200,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,371,824,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,39.75851612903226,0,0,1
1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,200,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,371,824,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,39.75851612903226,0,1,0
1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,200,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,371,824,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,40.72118279569892,0,0,1
1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,200,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,371,824,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,40.72118279569892,0,1,0
248,1,0,0,0,0,0,0,1,1,30,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,200,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,30,2858,12044,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,229.2762831515974,0,1,1
248,1,0,0,0,0,0,0,1,1,30,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,200,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,30,2858,12044,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,224.78027602013236,0,1,1
248,1,0,0,0,0,0,0,1,1,30,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,200,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,30,2858,12044,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,121.78796519762155,0,1,1
248,1,0,0,0,0,0,0,1,1,30,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,200,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,30,2858,12044,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,144.7589960618191,0,1,1
248,1,0,0,0,0,0,0,1,1,30,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,200,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,30,2858,12044,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,94.2560207531771,0,1,1
